entity_id,name,type,status,owner_id,description,priority,risk_level,properties,created_at,updated_at
person-0,Rowan Carter,Person,active,,,,,"{""email"": ""rowan.carter0@example.com"", ""org_unit"": ""Data""}",2025-01-01T00:42:00,
person-1,Drew Pierce,Person,active,,,,,"{""email"": ""drew.pierce1@example.com"", ""org_unit"": ""Growth""}",2025-01-01T00:43:00,
person-2,Quinn Jovanovic,Person,active,,,,,"{""email"": ""quinn.jovanovic2@example.com"", ""org_unit"": ""Platform""}",2025-01-01T00:44:00,
person-3,Ira Cortez,Person,active,,,,,"{""email"": ""ira.cortez3@example.com"", ""org_unit"": ""Platform""}",2025-01-01T00:45:00,
person-4,Taylor Grant,Person,active,,,,,"{""email"": ""taylor.grant4@example.com"", ""org_unit"": ""Growth""}",2025-01-01T00:46:00,
person-5,Cameron Huxley,Person,active,,,,,"{""email"": ""cameron.huxley5@example.com"", ""org_unit"": ""Platform""}",2025-01-01T00:47:00,
person-6,Gale Nakamura,Person,active,,,,,"{""email"": ""gale.nakamura6@example.com"", ""org_unit"": ""EMEA""}",2025-01-01T00:48:00,
person-7,Cameron Duvall,Person,active,,,,,"{""email"": ""cameron.duvall7@example.com"", ""org_unit"": ""Data""}",2025-01-01T00:49:00,
person-8,Jordan Lindqvist,Person,active,,,,,"{""email"": ""jordan.lindqvist8@example.com"", ""org_unit"": ""EMEA""}",2025-01-01T00:50:00,
person-9,Kendall Sato,Person,active,,,,,"{""email"": ""kendall.sato9@example.com"", ""org_unit"": ""Growth""}",2025-01-01T00:51:00,
person-10,Elliot Wexler,Person,active,,,,,"{""email"": ""elliot.wexler10@example.com"", ""org_unit"": ""Platform""}",2025-01-01T00:52:00,
person-11,Avery Zabala,Person,active,,,,,"{""email"": ""avery.zabala11@example.com"", ""org_unit"": ""Platform""}",2025-01-01T00:53:00,
person-12,Peyton Xu,Person,active,,,,,"{""email"": ""peyton.xu12@example.com"", ""org_unit"": ""Data""}",2025-01-01T00:54:00,
person-13,Morgan Estrada,Person,active,,,,,"{""email"": ""morgan.estrada13@example.com"", ""org_unit"": ""Platform""}",2025-01-01T00:55:00,
person-14,Harper Grant,Person,active,,,,,"{""email"": ""harper.grant14@example.com"", ""org_unit"": ""Data""}",2025-01-01T00:56:00,
person-15,Kip Yates,Person,active,,,,,"{""email"": ""kip.yates15@example.com"", ""org_unit"": ""Growth""}",2025-01-01T00:57:00,
person-16,Riley Delgado,Person,active,,,,,"{""email"": ""riley.delgado16@example.com"", ""org_unit"": ""Growth""}",2025-01-01T00:58:00,
person-17,Sage Grant,Person,active,,,,,"{""email"": ""sage.grant17@example.com"", ""org_unit"": ""Growth""}",2025-01-01T00:59:00,
person-18,Quinn Zabala,Person,active,,,,,"{""email"": ""quinn.zabala18@example.com"", ""org_unit"": ""Data""}",2025-01-01T01:00:00,
person-19,Wren Yates,Person,active,,,,,"{""email"": ""wren.yates19@example.com"", ""org_unit"": ""Growth""}",2025-01-01T01:01:00,
person-20,Marlowe Xu,Person,active,,,,,"{""email"": ""marlowe.xu20@example.com"", ""org_unit"": ""Growth""}",2025-01-01T01:02:00,
person-21,Sawyer Foster,Person,active,,,,,"{""email"": ""sawyer.foster21@example.com"", ""org_unit"": ""Growth""}",2025-01-01T01:03:00,
person-22,Frankie Quaid,Person,active,,,,,"{""email"": ""frankie.quaid22@example.com"", ""org_unit"": ""Growth""}",2025-01-01T01:04:00,
person-23,Wren Zabala,Person,active,,,,,"{""email"": ""wren.zabala23@example.com"", ""org_unit"": ""Data""}",2025-01-01T01:05:00,
person-24,Gale Pierce,Person,active,,,,,"{""email"": ""gale.pierce24@example.com"", ""org_unit"": ""Data""}",2025-01-01T01:06:00,
person-25,Casey Pierce,Person,active,,,,,"{""email"": ""casey.pierce25@example.com"", ""org_unit"": ""Platform""}",2025-01-01T01:07:00,
person-26,Dakota Abara,Person,active,,,,,"{""email"": ""dakota.abara26@example.com"", ""org_unit"": ""Data""}",2025-01-01T01:08:00,
person-27,Riley Osei,Person,active,,,,,"{""email"": ""riley.osei27@example.com"", ""org_unit"": ""Data""}",2025-01-01T01:09:00,
person-28,Elliot Gable,Person,active,,,,,"{""email"": ""elliot.gable28@example.com"", ""org_unit"": ""EMEA""}",2025-01-01T01:10:00,
person-29,Wren Keller,Person,active,,,,,"{""email"": ""wren.keller29@example.com"", ""org_unit"": ""Data""}",2025-01-01T01:11:00,
person-30,Skyler Quaid,Person,active,,,,,"{""email"": ""skyler.quaid30@example.com"", ""org_unit"": ""Data""}",2025-01-01T01:12:00,
person-31,Ira Cortez,Person,active,,,,,"{""email"": ""ira.cortez31@example.com"", ""org_unit"": ""EMEA""}",2025-01-01T01:13:00,
person-32,Marlowe Pierce,Person,active,,,,,"{""email"": ""marlowe.pierce32@example.com"", ""org_unit"": ""Growth""}",2025-01-01T01:14:00,
person-33,Cy Gable,Person,active,,,,,"{""email"": ""cy.gable33@example.com"", ""org_unit"": ""Platform""}",2025-01-01T01:15:00,
person-34,Casey Ingram,Person,active,,,,,"{""email"": ""casey.ingram34@example.com"", ""org_unit"": ""Growth""}",2025-01-01T01:16:00,
person-35,Emerson Cortez,Person,active,,,,,"{""email"": ""emerson.cortez35@example.com"", ""org_unit"": ""Platform""}",2025-01-01T01:17:00,
person-36,Harper Zabala,Person,active,,,,,"{""email"": ""harper.zabala36@example.com"", ""org_unit"": ""EMEA""}",2025-01-01T01:18:00,
person-37,Denny Reyes,Person,active,,,,,"{""email"": ""denny.reyes37@example.com"", ""org_unit"": ""Platform""}",2025-01-01T01:19:00,
person-38,Rowan Jovanovic,Person,active,,,,,"{""email"": ""rowan.jovanovic38@example.com"", ""org_unit"": ""Data""}",2025-01-01T01:20:00,
person-39,Kendall Ingram,Person,active,,,,,"{""email"": ""kendall.ingram39@example.com"", ""org_unit"": ""Data""}",2025-01-01T01:21:00,
risk-0,Risk: security gap #0,Risk,open,,Identified risk tracked against one or more initiatives or projects.,high,critical,{},2025-01-01T17:22:00,
risk-1,Risk: vendor delay #1,Risk,open,,Identified risk tracked against one or more initiatives or projects.,medium,medium,{},2025-01-01T17:23:00,
risk-2,Risk: budget cut #2,Risk,open,,Identified risk tracked against one or more initiatives or projects.,critical,high,{},2025-01-01T17:24:00,
risk-3,Risk: budget cut #3,Risk,open,,Identified risk tracked against one or more initiatives or projects.,high,medium,{},2025-01-01T17:25:00,
risk-4,Risk: scope creep #4,Risk,open,,Identified risk tracked against one or more initiatives or projects.,high,low,{},2025-01-01T17:26:00,
risk-5,Risk: budget cut #5,Risk,open,,Identified risk tracked against one or more initiatives or projects.,medium,critical,{},2025-01-01T17:27:00,
risk-6,Risk: vendor delay #6,Risk,open,,Identified risk tracked against one or more initiatives or projects.,critical,high,{},2025-01-01T17:28:00,
risk-7,Risk: scope creep #7,Risk,open,,Identified risk tracked against one or more initiatives or projects.,high,low,{},2025-01-01T17:29:00,
risk-8,Risk: staffing gap #8,Risk,open,,Identified risk tracked against one or more initiatives or projects.,critical,low,{},2025-01-01T17:30:00,
risk-9,Risk: security gap #9,Risk,open,,Identified risk tracked against one or more initiatives or projects.,critical,medium,{},2025-01-01T17:31:00,
risk-10,Risk: staffing gap #10,Risk,open,,Identified risk tracked against one or more initiatives or projects.,low,medium,{},2025-01-01T17:32:00,
risk-11,Risk: scope creep #11,Risk,open,,Identified risk tracked against one or more initiatives or projects.,low,medium,{},2025-01-01T17:33:00,
risk-12,Risk: budget cut #12,Risk,open,,Identified risk tracked against one or more initiatives or projects.,high,high,{},2025-01-01T17:34:00,
risk-13,Risk: security gap #13,Risk,open,,Identified risk tracked against one or more initiatives or projects.,medium,critical,{},2025-01-01T17:35:00,
risk-14,Risk: budget cut #14,Risk,open,,Identified risk tracked against one or more initiatives or projects.,low,low,{},2025-01-01T17:36:00,
risk-15,Risk: staffing gap #15,Risk,open,,Identified risk tracked against one or more initiatives or projects.,high,low,{},2025-01-01T17:37:00,
risk-16,Risk: scope creep #16,Risk,open,,Identified risk tracked against one or more initiatives or projects.,critical,medium,{},2025-01-01T17:38:00,
risk-17,Risk: budget cut #17,Risk,open,,Identified risk tracked against one or more initiatives or projects.,high,low,{},2025-01-01T17:39:00,
risk-18,Risk: vendor delay #18,Risk,open,,Identified risk tracked against one or more initiatives or projects.,critical,medium,{},2025-01-01T17:40:00,
risk-19,Risk: vendor delay #19,Risk,open,,Identified risk tracked against one or more initiatives or projects.,critical,high,{},2025-01-01T17:41:00,
goal-0,FY26 Quality Goal 0,Goal,not_started,taylor.grant4@example.com,A top-level company objective for the fiscal year.,critical,high,{},2025-01-02T10:02:00,
goal-1,FY26 Retention Goal 1,Goal,at_risk,ira.cortez31@example.com,A top-level company objective for the fiscal year.,critical,medium,{},2025-01-02T10:03:00,
goal-2,FY26 Quality Goal 2,Goal,in_progress,harper.zabala36@example.com,A top-level company objective for the fiscal year.,critical,medium,{},2025-01-02T10:04:00,
goal-3,FY26 Expansion Goal 3,Goal,not_started,skyler.quaid30@example.com,A top-level company objective for the fiscal year.,critical,low,{},2025-01-02T10:05:00,
goal-4,FY26 Expansion Goal 4,Goal,in_progress,gale.nakamura6@example.com,A top-level company objective for the fiscal year.,critical,critical,{},2025-01-02T10:06:00,
init-0,Q1 Resilience Initiative 0,Initiative,not_started,dakota.abara26@example.com,A cross-team program of work that advances a company goal.,critical,critical,"{""org_unit"": ""Data""}",2025-01-03T02:42:00,
init-1,Q2 Modernization Initiative 1,Initiative,in_progress,gale.nakamura6@example.com,A cross-team program of work that advances a company goal.,low,medium,"{""org_unit"": ""EMEA""}",2025-01-03T02:43:00,
init-2,Q4 Expansion Initiative 2,Initiative,in_progress,avery.zabala11@example.com,A cross-team program of work that advances a company goal.,critical,critical,"{""org_unit"": ""Platform""}",2025-01-03T02:44:00,
init-3,Q1 Velocity Initiative 3,Initiative,not_started,ira.cortez3@example.com,A cross-team program of work that advances a company goal.,high,medium,"{""org_unit"": ""EMEA""}",2025-01-03T02:45:00,
init-4,Q2 Resilience Initiative 4,Initiative,completed,ira.cortez31@example.com,A cross-team program of work that advances a company goal.,critical,medium,"{""org_unit"": ""EMEA""}",2025-01-03T02:46:00,
init-5,Q3 Resilience Initiative 5,Initiative,completed,rowan.carter0@example.com,A cross-team program of work that advances a company goal.,medium,critical,"{""org_unit"": ""EMEA""}",2025-01-03T02:47:00,
init-6,Q3 Modernization Initiative 6,Initiative,in_progress,kendall.sato9@example.com,A cross-team program of work that advances a company goal.,critical,low,"{""org_unit"": ""Data""}",2025-01-03T02:48:00,
init-7,Q4 Growth Initiative 7,Initiative,in_progress,ira.cortez3@example.com,A cross-team program of work that advances a company goal.,critical,low,"{""org_unit"": ""Growth""}",2025-01-03T02:49:00,
init-8,Q1 Velocity Initiative 8,Initiative,in_progress,taylor.grant4@example.com,A cross-team program of work that advances a company goal.,low,low,"{""org_unit"": ""Growth""}",2025-01-03T02:50:00,
init-9,Q1 Velocity Initiative 9,Initiative,not_started,denny.reyes37@example.com,A cross-team program of work that advances a company goal.,low,high,"{""org_unit"": ""Data""}",2025-01-03T02:51:00,
init-10,Q2 Expansion Initiative 10,Initiative,at_risk,morgan.estrada13@example.com,A cross-team program of work that advances a company goal.,low,medium,"{""org_unit"": ""Data""}",2025-01-03T02:52:00,
init-11,Q1 Expansion Initiative 11,Initiative,not_started,wren.keller29@example.com,A cross-team program of work that advances a company goal.,low,low,"{""org_unit"": ""Platform""}",2025-01-03T02:53:00,
init-12,Q3 Modernization Initiative 12,Initiative,in_progress,casey.ingram34@example.com,A cross-team program of work that advances a company goal.,medium,low,"{""org_unit"": ""Growth""}",2025-01-03T02:54:00,
init-13,Q2 Expansion Initiative 13,Initiative,completed,wren.zabala23@example.com,A cross-team program of work that advances a company goal.,medium,low,"{""org_unit"": ""Data""}",2025-01-03T02:55:00,
init-14,Q3 Modernization Initiative 14,Initiative,not_started,gale.nakamura6@example.com,A cross-team program of work that advances a company goal.,critical,medium,"{""org_unit"": ""Data""}",2025-01-03T02:56:00,
proj-0,Consolidate search index 0,Project,completed,quinn.zabala18@example.com,A scoped body of work delivering a specific outcome within an initiative.,high,high,"{""org_unit"": ""EMEA""}",2025-01-03T19:22:00,
proj-1,Migrate billing pipeline 1,Project,at_risk,riley.delgado16@example.com,A scoped body of work delivering a specific outcome within an initiative.,medium,low,"{""org_unit"": ""Platform""}",2025-01-03T19:23:00,
proj-2,Rebuild support portal 2,Project,completed,sawyer.foster21@example.com,A scoped body of work delivering a specific outcome within an initiative.,high,critical,"{""org_unit"": ""EMEA""}",2025-01-03T19:24:00,
proj-3,Migrate billing pipeline 3,Project,not_started,emerson.cortez35@example.com,A scoped body of work delivering a specific outcome within an initiative.,high,low,"{""org_unit"": ""Data""}",2025-01-03T19:25:00,
proj-4,Consolidate onboarding flow 4,Project,at_risk,denny.reyes37@example.com,A scoped body of work delivering a specific outcome within an initiative.,high,low,"{""org_unit"": ""Data""}",2025-01-03T19:26:00,
proj-5,Migrate data warehouse 5,Project,in_progress,wren.zabala23@example.com,A scoped body of work delivering a specific outcome within an initiative.,high,low,"{""org_unit"": ""Data""}",2025-01-03T19:27:00,
proj-6,Automate mobile app 6,Project,in_progress,emerson.cortez35@example.com,A scoped body of work delivering a specific outcome within an initiative.,high,medium,"{""org_unit"": ""Growth""}",2025-01-03T19:28:00,
